utt_id,score,label
TTS_SPOOF_0093,0.988188,0
TTS_SPOOF_0179,0.929783,0
LIBRI_BONAFIDE_0248,0.937586,1
LIBRI_BONAFIDE_0295,0.997376,1
TTS_SPOOF_0230,0.944845,0
LIBRI_BONAFIDE_0181,0.985050,1
TTS_SPOOF_0225,0.951629,0
LIBRI_BONAFIDE_0014,0.991611,1
TTS_SPOOF_0175,0.962843,0
LIBRI_BONAFIDE_0136,0.981959,1
TTS_SPOOF_0108,0.957077,0
TTS_SPOOF_0054,0.964283,0
LIBRI_BONAFIDE_0131,0.992467,1
TTS_SPOOF_0220,0.970263,0
TTS_SPOOF_0128,0.971302,0
LIBRI_BONAFIDE_0058,0.997102,1
LIBRI_BONAFIDE_0150,0.952855,1
LIBRI_BONAFIDE_0231,0.974140,1
LIBRI_BONAFIDE_0166,0.988941,1
TTS_SPOOF_0041,0.909403,0
TTS_SPOOF_0134,0.918742,0
TTS_SPOOF_0125,0.967487,0
LIBRI_BONAFIDE_0277,0.963195,1
LIBRI_BONAFIDE_0054,0.994814,1
TTS_SPOOF_0132,0.942190,0
TTS_SPOOF_0272,0.964283,0
TTS_SPOOF_0267,0.977400,0
TTS_SPOOF_0016,0.918742,0
LIBRI_BONAFIDE_0178,0.994128,1
LIBRI_BONAFIDE_0082,0.896231,1
TTS_SPOOF_0117,0.967348,0
LIBRI_BONAFIDE_0238,0.993457,1
TTS_SPOOF_0189,0.968045,0
TTS_SPOOF_0014,0.974336,0
LIBRI_BONAFIDE_0228,0.990825,1
TTS_SPOOF_0182,0.890381,0
TTS_SPOOF_0075,0.969105,0
TTS_SPOOF_0294,0.909403,0
TTS_SPOOF_0218,0.918742,0
LIBRI_BONAFIDE_0245,0.996622,1
TTS_SPOOF_0131,0.972513,0
LIBRI_BONAFIDE_0185,0.981209,1
TTS_SPOOF_0184,0.938543,0
LIBRI_BONAFIDE_0113,0.975983,1
LIBRI_BONAFIDE_0258,0.996260,1
LIBRI_BONAFIDE_0229,0.970796,1
TTS_SPOOF_0253,0.984004,0
TTS_SPOOF_0173,0.969105,0
TTS_SPOOF_0269,0.964283,0
LIBRI_BONAFIDE_0262,0.996277,1
LIBRI_BONAFIDE_0263,0.991859,1
LIBRI_BONAFIDE_0124,0.973984,1
LIBRI_BONAFIDE_0173,0.994715,1
TTS_SPOOF_0009,0.988153,0
LIBRI_BONAFIDE_0099,0.996879,1
LIBRI_BONAFIDE_0092,0.989989,1
LIBRI_BONAFIDE_0236,0.991795,1
LIBRI_BONAFIDE_0098,0.986391,1
LIBRI_BONAFIDE_0170,0.974938,1
TTS_SPOOF_0097,0.957358,0
TTS_SPOOF_0023,0.967715,0
TTS_SPOOF_0284,0.938614,0
TTS_SPOOF_0264,0.972690,0
LIBRI_BONAFIDE_0108,0.962650,1
LIBRI_BONAFIDE_0055,0.991800,1
TTS_SPOOF_0279,0.918742,0
TTS_SPOOF_0242,0.924503,0
LIBRI_BONAFIDE_0093,0.973605,1
TTS_SPOOF_0034,0.964773,0
LIBRI_BONAFIDE_0121,0.988603,1
TTS_SPOOF_0222,0.963329,0
LIBRI_BONAFIDE_0112,0.978824,1
TTS_SPOOF_0017,0.938614,0
LIBRI_BONAFIDE_0056,0.992890,1
LIBRI_BONAFIDE_0191,0.987174,1
TTS_SPOOF_0089,0.950756,0
LIBRI_BONAFIDE_0192,0.987175,1
LIBRI_BONAFIDE_0009,0.987395,1
LIBRI_BONAFIDE_0180,0.989329,1
LIBRI_BONAFIDE_0075,0.995674,1
LIBRI_BONAFIDE_0155,0.987672,1
LIBRI_BONAFIDE_0010,0.991559,1
LIBRI_BONAFIDE_0294,0.951289,1
TTS_SPOOF_0195,0.988063,0
LIBRI_BONAFIDE_0152,0.996172,1
LIBRI_BONAFIDE_0025,0.997936,1
TTS_SPOOF_0216,0.977948,0
LIBRI_BONAFIDE_0280,0.986999,1
TTS_SPOOF_0050,0.968045,0
LIBRI_BONAFIDE_0218,0.991102,1
TTS_SPOOF_0174,0.967348,0
LIBRI_BONAFIDE_0235,0.996245,1
TTS_SPOOF_0283,0.963329,0
LIBRI_BONAFIDE_0147,0.979281,1
LIBRI_BONAFIDE_0012,0.965382,1
TTS_SPOOF_0164,0.942190,0
TTS_SPOOF_0005,0.944845,0
TTS_SPOOF_0061,0.991561,0
LIBRI_BONAFIDE_0193,0.992906,1
LIBRI_BONAFIDE_0240,0.988322,1
TTS_SPOOF_0143,0.967348,0
LIBRI_BONAFIDE_0003,0.979069,1
TTS_SPOOF_0114,0.993132,0
LIBRI_BONAFIDE_0157,0.963345,1
TTS_SPOOF_0072,0.984004,0
LIBRI_BONAFIDE_0086,0.993641,1
LIBRI_BONAFIDE_0208,0.894496,1
LIBRI_BONAFIDE_0065,0.993178,1
LIBRI_BONAFIDE_0207,0.982905,1
TTS_SPOOF_0248,0.957657,0
LIBRI_BONAFIDE_0031,0.966072,1
LIBRI_BONAFIDE_0286,0.985708,1
TTS_SPOOF_0159,0.978348,0
TTS_SPOOF_0130,0.993132,0
LIBRI_BONAFIDE_0041,0.882341,1
TTS_SPOOF_0262,0.923151,0
LIBRI_BONAFIDE_0106,0.990314,1
TTS_SPOOF_0249,0.971526,0
TTS_SPOOF_0092,0.975717,0
LIBRI_BONAFIDE_0217,0.978152,1
TTS_SPOOF_0008,0.918742,0
LIBRI_BONAFIDE_0090,0.997194,1
TTS_SPOOF_0152,0.974997,0
LIBRI_BONAFIDE_0201,0.991157,1
LIBRI_BONAFIDE_0087,0.971935,1
TTS_SPOOF_0210,0.938543,0
TTS_SPOOF_0047,0.988382,0
LIBRI_BONAFIDE_0176,0.993941,1
LIBRI_BONAFIDE_0183,0.989168,1
TTS_SPOOF_0063,0.980706,0
TTS_SPOOF_0180,0.938543,0
LIBRI_BONAFIDE_0206,0.992082,1
LIBRI_BONAFIDE_0239,0.986106,1
LIBRI_BONAFIDE_0053,0.982809,1
LIBRI_BONAFIDE_0282,0.979242,1
LIBRI_BONAFIDE_0246,0.980078,1
LIBRI_BONAFIDE_0199,0.989498,1
TTS_SPOOF_0141,0.977948,0
TTS_SPOOF_0095,0.985304,0
TTS_SPOOF_0256,0.978932,0
TTS_SPOOF_0078,0.987549,0
LIBRI_BONAFIDE_0143,0.995100,1
LIBRI_BONAFIDE_0285,0.980790,1
TTS_SPOOF_0241,0.991561,0
LIBRI_BONAFIDE_0165,0.961946,1
TTS_SPOOF_0091,0.979361,0
LIBRI_BONAFIDE_0204,0.911424,1
LIBRI_BONAFIDE_0174,0.984647,1
LIBRI_BONAFIDE_0251,0.920234,1
TTS_SPOOF_0166,0.966471,0
LIBRI_BONAFIDE_0252,0.970488,1
TTS_SPOOF_0163,0.991561,0
LIBRI_BONAFIDE_0257,0.980316,1
LIBRI_BONAFIDE_0276,0.990250,1
LIBRI_BONAFIDE_0066,0.993042,1
LIBRI_BONAFIDE_0220,0.975444,1
LIBRI_BONAFIDE_0182,0.996101,1
TTS_SPOOF_0183,0.890381,0
TTS_SPOOF_0113,0.951629,0
TTS_SPOOF_0104,0.938614,0
TTS_SPOOF_0090,0.991602,0
LIBRI_BONAFIDE_0250,0.991826,1
LIBRI_BONAFIDE_0249,0.984880,1
LIBRI_BONAFIDE_0100,0.989253,1
LIBRI_BONAFIDE_0163,0.988681,1
TTS_SPOOF_0115,0.793641,0
TTS_SPOOF_0296,0.972513,0
LIBRI_BONAFIDE_0024,0.992981,1
LIBRI_BONAFIDE_0148,0.992901,1
LIBRI_BONAFIDE_0021,0.973507,1
TTS_SPOOF_0150,0.979361,0
LIBRI_BONAFIDE_0247,0.988336,1
TTS_SPOOF_0109,0.979978,0
TTS_SPOOF_0223,0.977948,0
LIBRI_BONAFIDE_0209,0.989671,1
LIBRI_BONAFIDE_0237,0.990998,1
LIBRI_BONAFIDE_0266,0.995948,1
TTS_SPOOF_0101,0.940305,0
TTS_SPOOF_0068,0.968628,0
LIBRI_BONAFIDE_0292,0.990795,1
TTS_SPOOF_0042,0.981816,0
LIBRI_BONAFIDE_0107,0.988016,1
LIBRI_BONAFIDE_0293,0.978157,1
TTS_SPOOF_0258,0.944845,0
TTS_SPOOF_0024,0.993132,0
TTS_SPOOF_0185,0.967355,0
TTS_SPOOF_0126,0.948024,0
TTS_SPOOF_0268,0.956823,0
TTS_SPOOF_0081,0.987335,0
LIBRI_BONAFIDE_0168,0.995804,1
TTS_SPOOF_0172,0.967348,0
LIBRI_BONAFIDE_0278,0.995440,1
TTS_SPOOF_0018,0.966471,0
TTS_SPOOF_0232,0.938543,0
TTS_SPOOF_0064,0.967348,0
TTS_SPOOF_0289,0.979414,0
TTS_SPOOF_0263,0.991602,0
TTS_SPOOF_0266,0.944845,0
TTS_SPOOF_0129,0.957358,0
TTS_SPOOF_0070,0.965639,0
TTS_SPOOF_0067,0.964292,0
LIBRI_BONAFIDE_0038,0.961219,1
TTS_SPOOF_0044,0.942190,0
TTS_SPOOF_0224,0.957657,0
LIBRI_BONAFIDE_0194,0.995742,1
LIBRI_BONAFIDE_0289,0.994016,1
TTS_SPOOF_0274,0.978348,0
LIBRI_BONAFIDE_0050,0.989215,1
LIBRI_BONAFIDE_0243,0.993582,1
TTS_SPOOF_0239,0.987549,0
TTS_SPOOF_0100,0.981816,0
TTS_SPOOF_0079,0.956823,0
TTS_SPOOF_0013,0.974997,0
LIBRI_BONAFIDE_0118,0.960048,1
LIBRI_BONAFIDE_0062,0.991152,1
LIBRI_BONAFIDE_0159,0.988274,1
LIBRI_BONAFIDE_0189,0.955452,1
TTS_SPOOF_0158,0.978348,0
TTS_SPOOF_0022,0.974336,0
LIBRI_BONAFIDE_0144,0.996467,1
LIBRI_BONAFIDE_0074,0.955722,1
TTS_SPOOF_0111,0.939626,0
LIBRI_BONAFIDE_0094,0.988778,1
TTS_SPOOF_0237,0.971526,0
LIBRI_BONAFIDE_0272,0.995422,1
TTS_SPOOF_0099,0.939626,0
TTS_SPOOF_0288,0.979414,0
TTS_SPOOF_0212,0.942190,0
TTS_SPOOF_0025,0.991561,0
TTS_SPOOF_0039,0.987173,0
TTS_SPOOF_0062,0.979462,0
LIBRI_BONAFIDE_0072,0.992696,1
LIBRI_BONAFIDE_0221,0.989428,1
TTS_SPOOF_0178,0.968045,0
LIBRI_BONAFIDE_0224,0.992648,1
LIBRI_BONAFIDE_0017,0.982492,1
LIBRI_BONAFIDE_0102,0.974310,1
LIBRI_BONAFIDE_0011,0.963615,1
LIBRI_BONAFIDE_0298,0.973755,1
TTS_SPOOF_0038,0.979978,0
TTS_SPOOF_0106,0.938543,0
TTS_SPOOF_0197,0.991602,0
TTS_SPOOF_0088,0.975695,0
LIBRI_BONAFIDE_0230,0.943909,1
TTS_SPOOF_0270,0.954420,0
TTS_SPOOF_0192,0.989939,0
TTS_SPOOF_0133,0.924503,0
TTS_SPOOF_0236,0.988063,0
TTS_SPOOF_0043,0.890381,0
LIBRI_BONAFIDE_0019,0.980591,1
TTS_SPOOF_0276,0.977948,0
LIBRI_BONAFIDE_0069,0.993005,1
TTS_SPOOF_0200,0.964292,0
LIBRI_BONAFIDE_0281,0.977155,1
LIBRI_BONAFIDE_0234,0.990234,1
LIBRI_BONAFIDE_0213,0.989033,1
TTS_SPOOF_0280,0.927109,0
LIBRI_BONAFIDE_0164,0.993304,1
LIBRI_BONAFIDE_0114,0.974063,1
TTS_SPOOF_0282,0.989939,0
LIBRI_BONAFIDE_0018,0.984376,1
LIBRI_BONAFIDE_0091,0.995865,1
LIBRI_BONAFIDE_0076,0.995787,1
TTS_SPOOF_0105,0.983524,0
LIBRI_BONAFIDE_0186,0.977347,1
TTS_SPOOF_0154,0.977948,0
LIBRI_BONAFIDE_0023,0.981792,1
TTS_SPOOF_0033,0.956823,0
TTS_SPOOF_0006,0.982482,0
LIBRI_BONAFIDE_0022,0.994496,1
LIBRI_BONAFIDE_0001,0.969544,1
TTS_SPOOF_0082,0.957657,0
LIBRI_BONAFIDE_0116,0.981392,1
TTS_SPOOF_0127,0.953790,0
TTS_SPOOF_0144,0.970076,0
LIBRI_BONAFIDE_0130,0.994372,1
LIBRI_BONAFIDE_0080,0.909301,1
TTS_SPOOF_0142,0.988233,0
LIBRI_BONAFIDE_0297,0.994434,1
TTS_SPOOF_0181,0.940305,0
TTS_SPOOF_0119,0.971526,0
TTS_SPOOF_0065,0.979462,0
TTS_SPOOF_0036,0.993132,0
LIBRI_BONAFIDE_0233,0.973371,1
TTS_SPOOF_0002,0.964283,0
TTS_SPOOF_0235,0.954420,0
TTS_SPOOF_0057,0.968748,0
LIBRI_BONAFIDE_0032,0.998208,1
LIBRI_BONAFIDE_0268,0.985011,1
LIBRI_BONAFIDE_0139,0.989199,1
TTS_SPOOF_0103,0.993469,0
LIBRI_BONAFIDE_0171,0.978618,1
LIBRI_BONAFIDE_0015,0.973452,1
TTS_SPOOF_0261,0.981442,0
LIBRI_BONAFIDE_0137,0.957298,1
TTS_SPOOF_0233,0.969105,0
TTS_SPOOF_0209,0.984164,0
LIBRI_BONAFIDE_0085,0.965328,1
LIBRI_BONAFIDE_0132,0.991210,1
LIBRI_BONAFIDE_0264,0.990278,1
LIBRI_BONAFIDE_0267,0.992196,1
LIBRI_BONAFIDE_0177,0.972209,1
LIBRI_BONAFIDE_0254,0.974629,1
LIBRI_BONAFIDE_0083,0.996342,1
LIBRI_BONAFIDE_0005,0.997673,1
TTS_SPOOF_0156,0.964773,0
TTS_SPOOF_0234,0.940305,0
TTS_SPOOF_0157,0.924503,0
TTS_SPOOF_0286,0.942913,0
TTS_SPOOF_0019,0.957358,0
LIBRI_BONAFIDE_0028,0.973663,1
LIBRI_BONAFIDE_0232,0.936099,1
LIBRI_BONAFIDE_0059,0.974875,1
LIBRI_BONAFIDE_0222,0.982759,1
TTS_SPOOF_0146,0.984296,0
LIBRI_BONAFIDE_0125,0.954931,1
LIBRI_BONAFIDE_0029,0.996185,1
TTS_SPOOF_0076,0.991561,0
TTS_SPOOF_0231,0.938614,0
TTS_SPOOF_0299,0.985417,0
TTS_SPOOF_0290,0.938543,0
TTS_SPOOF_0228,0.991561,0
TTS_SPOOF_0080,0.991602,0
